"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","OC1","OD1","OD2","REM","EQD"
"01044099999","2021-01-04T11:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","260,1,N,0026,1","00945,1,C,N","009999,1,9,9","+0060,1","+0010,1","99999,9","07,1,+00945,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00945,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET051METAR ENHK 041120Z 26005KT 9999 BKN031 06/01 Q1026=",
"01044099999","2021-01-04T11:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","260,1,N,0031,1","00975,1,C,N","009999,1,9,9","+0060,1","+0010,1","99999,9","07,1,+00975,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00975,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET051METAR ENHK 041150Z 26006KT 9999 BKN032 06/01 Q1026=",
"01044099999","2021-01-04T12:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","260,1,N,0026,1","00975,1,9,N","009999,1,9,9","+0060,1","+0010,1","99999,9","02,1,+00610,1,99,9","07,1,+00975,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET058METAR ENHK 041250Z 26005KT 9999 FEW020 BKN032 06/01 Q1026=",
"01044099999","2021-01-04T13:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","250,1,V,0021,1","00975,1,9,N","009999,1,9,9","+0060,1","+0010,1","99999,9","02,1,+00610,1,99,9","07,1,+00975,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET066METAR ENHK 041320Z 25004KT 200V300 9999 FEW020 BKN032 06/01 Q1026=",
"01044099999","2021-01-04T14:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","223,1,N,0034,1","99999,9,9,9","999999,9,9,9","+0062,1","+0011,1","10263,1",,,,,,"010,M,+0064,1","010,N,+0060,1","99999,9,10255,1","7,1,002,1,+999,9",,,,"0051,1","4,01,0051,1,254","9,99,0034,1,999","SYN004BUFR",
"01044099999","2021-01-04T14:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","230,1,N,0041,1","00975,1,C,N","009999,1,9,9","+0060,1","+0010,1","99999,9","07,1,+00975,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00975,1,99,9,99,9",,,"10250,1,99999,9",,,,,,,,"MET051METAR ENHK 041420Z 23008KT 9999 BKN032 06/01 Q1025=",
"01044099999","2021-01-04T14:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","999,9,C,0000,1","01006,1,C,N","009999,1,9,9","+0060,1","+0010,1","99999,9","07,1,+01006,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01006,1,99,9,99,9",,,"10250,1,99999,9",,,,,,,,"MET051METAR ENHK 041450Z 00000KT 9999 BKN033 06/01 Q1025=",
"01044099999","2021-01-04T15:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","208,1,N,0015,1","99999,9,9,9","999999,9,9,9","+0060,1","+0013,1","10261,1",,,,,,"010,M,+0064,1","010,N,+0058,1","99999,9,10252,1","7,1,004,1,+999,9",,,,"0060,1","4,01,0060,1,218","9,99,0045,1,999","SYN004BUFR",
"01044099999","2021-01-04T16:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","167,1,N,0018,1","99999,9,9,9","999999,9,9,9","+0055,1","+0014,1","10260,1",,,,,,"010,M,+0060,1","010,N,+0054,1","99999,9,10252,1","7,1,005,1,+999,9",,,,,"4,01,0033,1,192","9,99,0021,1,999","SYN004BUFR",
"01044099999","2021-01-04T17:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","148,1,N,0011,1","99999,9,9,9","999999,9,9,9","+0057,1","+0015,1","10261,1",,,,,,"010,M,+0058,1","010,N,+0054,1","99999,9,10252,1","7,1,003,1,+999,9",,,,,"4,01,0025,1,166","9,99,0020,1,999","SYN004BUFR",
