{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
       46    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.001    0.001    0.001    0.001 retry.py:41(Retry)
     1898    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      274    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
     1343    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1421    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      277    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
       85    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      379    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       35    0.000    0.000    0.001    0.000 functools.py:544(decorating_function)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1247(CookieJar)
       17    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
     1561    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       46    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
        7    0.000    0.000    0.001    0.000 typing.py:2054(__new__)
      308    0.000    0.000    0.001    0.000 enum.py:78(_is_private)
      568    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       12    0.000    0.000    0.001    0.000 enum.py:1596(__or__)
       35    0.000    0.000    0.001    0.000 ipaddress.py:1661(_ip_int_from_string)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       42    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
       72    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
